instance,family,lemma_id,clause,length,origin,support,structural_check,structural_ok,implication_verdict,implication_ms,verification_solver,accepted,verification_log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,0,-1 -2,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,17.941766,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00000.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,1,-1 -3,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.614337,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00001.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,2,-1 -4,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,17.971523,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00002.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,3,-1 -5,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.132856,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00003.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,4,-1 -6,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.037409,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00004.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,5,-1 -7,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,17.980186,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00005.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,6,-1 -8,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.502304,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00006.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,7,-2 -3,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,19.113649,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00007.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,8,-2 -4,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,19.293023,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00008.log
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,-2 -5,2,exact_r_family,1 2 3 4 5 6 7 8,family_clause_replayed,True,UNSATISFIABLE,18.60809,kissat,True,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/verification/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__lemma00009.log
