campaign,instance,family,expected_result,cadical_result,kissat_result,lkk_cadical_result,lkk_kissat_result,lkk_none_result,lkk_none_structural,harvest_boxes,harvest_resources,structural_unsat_detected,structural_refutation_conflict,lemma_candidates,definite_mismatch,passed
phase3,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
phase3,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
phase3,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
phase3,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,6,11,True,False,0,False,True
phase3,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,17,17,True,False,0,False,True
phase3,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,19,19,True,False,0,False,True
phase3,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
phase3,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
phase3,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
phase3,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,9,8,True,False,697,False,True
phase3,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,23,1,False,False,0,False,True
phase3,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,1,False,True
phase3,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
phase3,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,UNKNOWN,UNKNOWN,0,0,False,False,0,False,True
expanded,001_exact_r_allocation_scale7_phase4b.cnf,exact_r_allocation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,002_exact_r_allocation_scale9_phase4b.cnf,exact_r_allocation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,UNKNOWN,6,11,True,False,0,False,True
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,UNSATISFIABLE,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNKNOWN,UNKNOWN,7,1,False,False,0,False,True
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSAT,0,0,False,False,0,False,True
