instance,source,domain,stratum,declared_result,distinct_definite_answers,modes_solved,modes_run,answer_A_cadical,answer_B_kissat,answer_C_lkk_cadical,answer_D_lkk_kissat,answer_E_lkk_selector,conflicting_answers,disagrees_with_declared,passed
002.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
004.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ET-256-K-55.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ET-256-K-70.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,2,5,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,TIMEOUT,TIMEOUT,False,False,True
1-ET-512-K-110.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ET-512-K-96.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-TC-256-K-64.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-TC-256-K-68.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ZC-512-K-60.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ZC-512-K-61.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ZC-512-K-63.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ZC-512-K-64.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ZC-512-K-65.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
1-ZC-512-K-67.sanitized.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
170058440.cnf,SATComp2024,competition_main,resource_allocation_like,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
2bitadd_11.cnf,SATLIB,planning_scheduling,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
2bitcomp_5.cnf,SATLIB,planning_scheduling,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
2bitmax_6.cnf,SATLIB,planning_scheduling,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
2dlx_ca_bp_f_liveness.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
3bitadd_31.cnf,SATLIB,planning_scheduling,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
3bitadd_32.cnf,SATLIB,planning_scheduling,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
3blocks.cnf,SATLIB,planning_scheduling,cardinality_exact_r_heavy,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
4blocks.cnf,SATLIB,planning_scheduling,no_useful_detected_structure,,SATISFIABLE,5,5,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,SATISFIABLE,False,False,True
6s130-opt.cnf,SATComp2024,competition_main,no_useful_detected_structure,,UNSATISFIABLE,3,5,TIMEOUT,UNSATISFIABLE,TIMEOUT,UNSATISFIABLE,UNSATISFIABLE,False,False,True
Break_18_32.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Break_20_72.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Break_unsat_04_03.xml.cnf,SATComp2024,competition_main,resource_allocation_like,,UNSATISFIABLE,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,False,False,True
Break_unsat_14_23.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Break_unsat_16_27.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Break_unsat_18_31.xml.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
Circuit_multiplier22.cnf,SATComp2024,competition_main,no_useful_detected_structure,,SATISFIABLE,2,5,TIMEOUT,TIMEOUT,SATISFIABLE,TIMEOUT,SATISFIABLE,False,False,True
DLTM_twitter774_83_17.cnf,SATComp2024,competition_main,no_useful_detected_structure,,none,0,5,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,False,False,True
